,id,title,uri,tempo,time_sig,key_of,open_key,danceability,acousticness,artist.id,artist.name,artist.uri,artist.genres,artist.from,artist.mbid,album.title,album.uri,album.year,Nartist,Ntitle
326,D9DDoA,Whole Lot of Leavin',https://getsongbpm.com/song/whole-lot-of-leavin/D9DDoA,105.0,4/4,F♯,7d,57.0,1.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Lost Highway,https://getsongbpm.com/album/lost-highway/D8Pv5,2007.0,Bon Jovi,Whole Lot of Leavin'
327,vzZvm,You Give Love a Bad Name,https://getsongbpm.com/song/you-give-love-a-bad-name/vzZvm,123.0,4/4,Cm,10m,54.0,8.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Slippery When Wet,https://getsongbpm.com/album/slippery-when-wet/X6qrW,1986.0,Bon Jovi,You Give Love a Bad Name
328,,,,,,,,,,,,,,,,,,,Britney Spears,BRITNEY
329,rRVqL,Boys,https://getsongbpm.com/song/boys/rRVqL,108.0,4/4,Bm,3m,90.0,3.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney,https://getsongbpm.com/album/britney/VggB,2001.0,Britney Spears,Boys
330,vo2PYm,Breathe on Me,https://getsongbpm.com/song/breathe-on-me/vo2PYm,112.0,4/4,G,2d,71.0,1.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,In the Zone,https://getsongbpm.com/album/in-the-zone/vgZpV,2003.0,Britney Spears,Breathe on Me
331,VO1LX5,Circus,https://getsongbpm.com/song/circus/VO1LX5,112.0,4/4,F♯m,4m,80.0,15.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Circus,https://getsongbpm.com/album/circus/vYoMg,2008.0,Britney Spears,Circus
332,,,,,,,,,,,,,,,,,,,Britney Spears,Do Somethin'
333,qQ0YX3,Do You Wanna Come Over?,https://getsongbpm.com/song/do-you-wanna-come-overquestion/qQ0YX3,121.0,4/4,E,5d,76.0,1.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Glory,https://getsongbpm.com/album/glory/E739k,2016.0,Britney Spears,Do You Wanna Come Over?
334,Z6BW4w,Freakshow,https://getsongbpm.com/song/freakshow/Z6BW4w,131.0,4/4,Bm,3m,84.0,17.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Blackout,https://getsongbpm.com/album/blackout/vZW25,2007.0,Britney Spears,Freakshow
335,YEAM6M,Get Naked (I Got a Plan),https://getsongbpm.com/song/get-naked-i-got-a-plan/YEAM6M,115.0,4/4,F♯m,4m,74.0,7.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Blackout,https://getsongbpm.com/album/blackout/vZW25,2007.0,Britney Spears,Get Naked (I Got a Plan)
336,QWpO10,Gimme More,https://getsongbpm.com/song/gimme-more/QWpO10,113.0,4/4,F♯m,4m,79.0,25.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Blackout,https://getsongbpm.com/album/blackout/vZW25,2007.0,Britney Spears,Gimme More
337,nr6mp,I'm a Slave 4 U,https://getsongbpm.com/song/i-m-a-slave-4-u/nr6mp,110.0,4/4,Fm,9m,85.0,42.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney,https://getsongbpm.com/album/britney/VggB,2001.0,Britney Spears,I'm a Slave 4 U
338,Z65P2v,If U Seek Amy,https://getsongbpm.com/song/if-u-seek-amy/Z65P2v,129.0,4/4,Em,2m,72.0,2.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Circus,https://getsongbpm.com/album/circus/vYoMg,2008.0,Britney Spears,If U Seek Amy
339,pQYJR2,Me Against the Music,https://getsongbpm.com/song/me-against-the-music/pQYJR2,117.0,4/4,F♯m,4m,81.0,32.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,In the Zone,https://getsongbpm.com/album/in-the-zone/vgZpV,2003.0,Britney Spears,Me Against the Music
340,,,,,,,,,,,,,,,,,,,Britney Spears,Scream & Shout
341,w0Dm8J,Slumber Party,https://getsongbpm.com/song/slumber-party/w0Dm8J,135.0,4/4,C,1d,76.0,33.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Glory,https://getsongbpm.com/album/glory/E739k,2016.0,Britney Spears,Slumber Party
342,KZzX28,Till the World Ends,https://getsongbpm.com/song/till-the-world-ends/KZzX28,131.0,4/4,G♯,9d,70.0,3.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Femme Fatale,https://getsongbpm.com/album/femme-fatale/VlnZO,2011.0,Britney Spears,Till the World Ends
343,zKpWBY,Touch of My Hand,https://getsongbpm.com/song/touch-of-my-hand/zKpWBY,100.0,4/4,Am,1m,56.0,58.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,In the Zone,https://getsongbpm.com/album/in-the-zone/vgZpV,2003.0,Britney Spears,Touch of My Hand
344,xvkRV9,Toxic,https://getsongbpm.com/song/toxic/xvkRV9,144.0,4/4,Cm,10m,78.0,3.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,In the Zone,https://getsongbpm.com/album/in-the-zone/vgZpV,2003.0,Britney Spears,Toxic
345,R6WEQL,Womanizer,https://getsongbpm.com/song/womanizer/R6WEQL,136.0,4/4,Dm,12m,73.0,8.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Circus,https://getsongbpm.com/album/circus/vYoMg,2008.0,Britney Spears,Womanizer
346,oVy3Yk,Work Bitch,https://getsongbpm.com/song/work-bitch/oVy3Yk,128.0,4/4,A,4d,63.0,16.0,l0j,Britney Spears,https://getsongbpm.com/artist/britney-spears/l0j,"['electronic', 'pop']",US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney Jean,https://getsongbpm.com/album/britney-jean/PJ8Y1,2013.0,Britney Spears,Work Bitch
347,qlXoG2,"4th of July, Asbury Park (Sandy)",https://getsongbpm.com/song/4th-of-july-asbury-park-sandy/qlXoG2,102.0,4/4,C,1d,49.0,23.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,"The Wild, the Innocent & the E Street Shuffle",https://getsongbpm.com/album/the-wild-the-innocent-and-the-e-street-shuffle/YKp9,1973.0,Bruce Springsteen,"4th of July, Asbury Park (Sandy)"
348,oQlrOB,Adam Raised a Cain,https://getsongbpm.com/song/adam-raised-a-cain/oQlrOB,94.0,4/4,Am,1m,52.0,1.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Darkness on the Edge of Town,https://getsongbpm.com/album/darkness-on-the-edge-of-town/Yxj0,1978.0,Bruce Springsteen,Adam Raised a Cain
349,gLPOj3,Atlantic City,https://getsongbpm.com/song/atlantic-city/gLPOj3,108.0,4/4,E,5d,48.0,32.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Nebraska,https://getsongbpm.com/album/nebraska/oKqj,1982.0,Bruce Springsteen,Atlantic City
350,pgBk2,Backstreets,https://getsongbpm.com/song/backstreets/pgBk2,96.0,4/4,G,2d,23.0,21.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Born to Run,https://getsongbpm.com/album/born-to-run/6MPL,1975.0,Bruce Springsteen,Backstreets
351,nrkqzW,Badlands,https://getsongbpm.com/song/badlands/nrkqzW,122.0,4/4,E,5d,61.0,9.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Darkness on the Edge of Town,https://getsongbpm.com/album/darkness-on-the-edge-of-town/Yxj0,1978.0,Bruce Springsteen,Badlands
352,,,,,,,,,,,,,,,,,,,Bruce Springsteen,Because the Night
353,XQ0jm,Better Days,https://getsongbpm.com/song/better-days/XQ0jm,120.0,4/4,D,3d,46.0,6.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Lucky Town,https://getsongbpm.com/album/lucky-town/qgZr,1992.0,Bruce Springsteen,Better Days
354,V7Wy9,Blinded by the Light,https://getsongbpm.com/song/blinded-by-the-light/V7Wy9,127.0,4/4,E,5d,50.0,23.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,"Greetings From Asbury Park, N.J.",https://getsongbpm.com/album/greetings-from-asbury-park-npointjpoint/BK6x,1973.0,Bruce Springsteen,Blinded by the Light
355,G5y8y7,Bobby Jean,https://getsongbpm.com/song/bobby-jean/G5y8y7,133.0,4/4,A,4d,53.0,1.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Born in the U.S.A.,https://getsongbpm.com/album/born-in-the-upointspointapoint/zqqY,1984.0,Bruce Springsteen,Bobby Jean
356,xvO1O9,Born in the U.S.A.,https://getsongbpm.com/song/born-in-the-upointspointapoint/xvO1O9,123.0,4/4,B,6d,40.0,1.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Born in the U.S.A.,https://getsongbpm.com/album/born-in-the-upointspointapoint/zqqY,1984.0,Bruce Springsteen,Born in the U.S.A.
357,qj6l2,Born to Run,https://getsongbpm.com/song/born-to-run/qj6l2,144.0,4/4,E,5d,27.0,1.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Born to Run,https://getsongbpm.com/album/born-to-run/6MPL,1975.0,Bruce Springsteen,Born to Run
358,Q10nq,Brilliant Disguise,https://getsongbpm.com/song/brilliant-disguise/Q10nq,129.0,4/4,A,4d,71.0,16.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Tunnel of Love,https://getsongbpm.com/album/tunnel-of-love/lEN1,1987.0,Bruce Springsteen,Brilliant Disguise
359,qYn020,Candy's Room,https://getsongbpm.com/song/candy-s-room/qYn020,150.0,4/4,C,1d,45.0,11.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Darkness on the Edge of Town,https://getsongbpm.com/album/darkness-on-the-edge-of-town/Yxj0,1978.0,Bruce Springsteen,Candy's Room
360,L8MJMw,Dancing in the Dark,https://getsongbpm.com/song/dancing-in-the-dark/L8MJMw,148.0,4/4,C♯m,5m,53.0,2.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Born in the U.S.A.,https://getsongbpm.com/album/born-in-the-upointspointapoint/zqqY,1984.0,Bruce Springsteen,Dancing in the Dark
361,zKzJnZ,Darkness on the Edge of Town,https://getsongbpm.com/song/darkness-on-the-edge-of-town/zKzJnZ,85.0,4/4,G,2d,37.0,3.0,y5n,Bruce Springsteen,https://getsongbpm.com/artist/bruce-springsteen/y5n,"['folk', 'pop', 'rock']",US,70248960-cb53-4ea4-943a-edb18f7d336f,Darkness on the Edge of Town,https://getsongbpm.com/album/darkness-on-the-edge-of-town/Yxj0,1978.0,Bruce Springsteen,Darkness on the Edge of Town
